video_id,title,description,published_at,view_count,like_count,comment_count,duration
S8o8OwEJ3VQ,@KarolG  | Si Antes Te Hubiera Conocido | Coke Studio Performance,Watch the full Studio Session OUT NOW!,2024-06-26T14:16:31Z,124462,7346,81,PT16S
MXIspqX7WLc,Coke Studio: Live ft. NewJeans,"Experience the magic of Coke Studio: Live featuring NewJeans performing live from Tokyo, Japan. Watch their performance of ""How Sweet"" and ""Zero.""
 
This Coke Studio live experience was created by Coca-Cola and brought to life by fans. It's one of many fan-centric events that will take place as part of #CokeStudio 2024. Stay tuned for more magic to come from Karol G, Peggy Gou, and more to be announced! #RealMagic
 
Coke Studio 2024 is all about celebrating the fan connection, uplifting and rallying fans together with unforgettable new music and experiences created by their favorite artists.",2024-06-07T12:00:07Z,107077,8085,343,PT6M13S
DOEjWPgeoVI,@KarolG x Coke Studio coming soon. ❤️​,,2024-06-03T16:05:05Z,2190,116,4,PT16S
_FGUexuihaA,@NewJeans_official | How Sweet | Coke Studio Performance,"Watch the full Studio Session OUT NOW! #CokeStudio #RealMagic

@NewJeans_official",2024-05-24T15:05:06Z,211747,12008,194,PT16S
02xwcvM_yZs,Coke Studio x NewJeans Announcement,Something sweet is dropping May 24. 💖 @NewJeans_Official,2024-05-20T15:09:23Z,5394,704,34,PT16S
kxoVf9k49D8,NewJeans Interview with Coke Studio,"What’s something you’ve always been curious to know about NewJeans? In this must-see interview with Coke Studio, MINJI, HANNI, DANIELLE, HAERIN, and HYEIN answer popular questions, share stories, fun facts and more!",2024-05-20T12:59:40Z,58309,6385,357,PT2M11S
Ls4HQJi6FkY,Danielle + Tonton Malele – Let Me Love You x Mekim Mi Wari Mash-up,A magical collision from two of PNG’s trending artists.,2023-12-18T05:04:50Z,631027,7154,316,PT3M24S
QvTPDM_yoCM,Kronos + Jnr Vigi:  Coco x Eh Vivi Mash-up,What happens when two of PNG’s hottest acts collide?,2023-12-12T02:42:38Z,311103,3279,144,PT3M17S
xvWyu6MefjY,Mal Meninga Kuri + Shei – MONOLY x LAIKIM Mash-up,A magical collision from two talented PNG artists.,2023-11-13T04:21:24Z,455910,4993,333,PT3M59S
-eKpa2sp_5A,Coke Studio Amplified I Ep. 5 I Song & music video I A new interpretation of Zoe Wees' Girls Like Us,"Coke Studio brings together a diverse group of international artists including singer-songwriters, producers, hair and makeup artists, fashion designers and content creators in the new mini-series Coke Studio Amplified. Together, they are on a journey of creative exploration, and we get to follow along and experience the magic that emerges when creativity is given the space to thrive.

Witness the evolution of a new interpretation of the song ""Girls Like Us"" by Zoe Wees, delivering innovative sounds, styles, and ideas. This collaboration, fuelled by the support of Coke Studio, celebrates the fusion of music and culture, bringing you closer to the heart of music and the artists behind it.

Grab a refreshing Coca-Cola and subscribe to not miss out on the Real Magic produced by your favourite artists! That's a wrap! The moment we've been counting down to is finally here: after going through a journey of creative challenges, our artists are about to witness their creative process unfold. The anticipation is real as they hit that play button, ready to watch their collaborative efforts and unique style coming to life in the final music video.  How do you think they will react to the result? Sit back, have a Coca-Cola, and let the final episode take you away! 

©2023 The Coca-Cola Company. Coca-Cola, Coca-Cola Zero and Coke Studio are registered trademarks of The Coca-Cola Company",2023-11-02T15:31:41Z,10453,91,4,PT4M
